month,monthly_average,month_name
1,126.73333333333332,Jan
2,128.19333333333333,Feb
3,129.59888888888887,Mar
4,130.82444444444445,Apr
5,131.85666666666668,May
6,131.61888888888888,Jun
7,131.2211111111111,Jul
8,131.04333333333332,Aug
9,131.67222222222222,Sep
10,133.01222222222225,Oct
11,133.44222222222223,Nov
12,134.26666666666668,Dec
