model,order,seasonal_order,AIC,BIC,RMSE,MAE,MAPE
"SARIMA(1, 1, 1)x(0, 1, 1, 12)","(1, 1, 1)","(0, 1, 1, 12)",165.8053498135683,173.9775548849065,2.9287902572530906,2.20812786408478,1.2808265750805155
"SARIMA(1, 1, 1)x(1, 1, 1, 12)","(1, 1, 1)","(1, 1, 1, 12)",166.8269223470923,177.04217868626506,7.639585046352409,6.867661767358645,4.044839414137175
"SARIMA(0, 1, 1)x(1, 1, 1, 12)","(0, 1, 1)","(1, 1, 1, 12)",177.30254368566187,185.47474875700007,9.496558654397852,8.627650416961806,5.080165859028632
"SARIMA(1, 1, 1)x(1, 1, 0, 12)","(1, 1, 1)","(1, 1, 0, 12)",169.9520545316771,178.1938265738628,9.593616912442947,8.672994674443485,5.120220265674411
"SARIMA(1, 1, 0)x(1, 1, 1, 12)","(1, 1, 0)","(1, 1, 1, 12)",168.7094596227161,176.9512316649018,9.820694042027677,8.86153516020529,5.215475303213318
