date,actual,sarima_forecast,lower_95,upper_95,lower_80,upper_80
2024-01-01,159.91,158.81829270454762,157.01495375599436,160.62163165310088,157.63915274536703,159.9974326637282
2024-02-01,161.24,160.07101129871913,156.88304563089386,163.2589769665444,157.98651259122747,162.1555100062108
2024-03-01,161.67,161.39823468273912,156.77495275582467,166.02151660965356,158.37523311836003,164.4212362471182
2024-04-01,162.25,162.49148138098212,156.39994690713445,168.5830158548298,158.5084410786572,166.47452168330705
2024-05-01,161.97,163.46996901923706,155.89669642331236,171.04324161516175,158.51807223533726,168.42186580313685
2024-06-01,161.27,163.01054066891567,153.95701331390185,172.06406802392948,157.09075732236525,168.93032401546608
2024-07-01,161.39,162.27188640715457,151.75045852534734,172.7933142889618,155.3922944962558,169.15147831805334
2024-08-01,162.22,161.47020224845915,149.50093165379724,173.43947284312105,153.64391687280434,169.29648762411395
2024-09-01,163.64,162.06057055437168,148.6688474887912,175.45229361995217,153.3041935008097,170.81694760793366
2024-10-01,164.99,163.38977546279958,148.60455841516546,178.1749925104337,153.72224166943818,173.05730925616098
2024-11-01,165.16,163.78912382162653,147.64162777761274,179.93661986564032,153.23084367053113,174.34740397272193
2024-12-01,165.57,164.64298499473477,147.16570663272515,182.1202633567444,153.21520692178802,176.07076306768153
2025-01-01,166.98,165.91566656739948,147.04527492153613,184.78605821326283,153.57698067982636,178.2543524549726
2025-02-01,168.35,167.45844143998036,147.1909838134769,187.72589906648383,154.20626320827185,180.71061967168887
2025-03-01,169.83,169.0372660364404,147.38993585905948,190.68459621382132,154.88283764004632,183.19169443283448
2025-04-01,171.37,170.34875717486042,147.34420708576292,193.35330726395793,155.3068903783894,185.39062397133145
2025-05-01,173.0,171.51655485342187,147.1807895075167,195.85232019932704,155.6042531867718,187.42885652007192
2025-06-01,173.83,171.22133820687523,145.58228378493513,196.86039262881533,154.45686161817338,187.98581479557708
2025-07-01,174.48,170.62512479829323,143.7116513308434,197.53859826574305,153.02735038584788,188.22289921073857
2025-08-01,176.95,169.94699697686232,141.78824796287532,198.10574599084933,151.53498065038832,188.35901330333633
2025-09-01,176.44,170.64454077447903,141.2694741916128,200.01960735734525,151.43721713782384,189.85186441113422
2025-10-01,177.31,172.06671206792882,141.50378858612817,202.62963554972947,152.08269055290438,192.05073358295326
2025-11-01,177.75,172.54670151929105,140.82367628250856,204.26972675607354,151.80413023905913,193.28927279952296
2025-12-01,178.38,173.4705125544249,140.61430042217597,206.3267246866738,151.98699018968597,194.9540349191638
